title,link,linkImg,fonte,date
Cientistas fazem avanço rumo à vacina contra o coronavírus,"https://www.correiobraziliense.com.br/app/noticia/ciencia-e-saude/2020/02/20/interna_ciencia_saude,829200/cientistas-fazem-avanco-rumo-a-vacina-contra-o-coronavirus.shtml",https://d13es1p1rl0iq1.cloudfront.net/wp-content/uploads/2020/02/332baf329b6c12dd4d47fb420cbd4efce5c6f160w.jpg,Correio Braziliense,20/02/2020
Coronavírus: China fecha último dos 16 hospitais construídos em tempo recorde em Wuhan,https://oglobo.globo.com/sociedade/coronavirus/coronavirus-china-fecha-ultimo-dos-16-hospitais-construidos-em-tempo-recorde-em-wuhan-24296012,https://ogimg.infoglobo.com.br/in/24295870-722-6ba/FT1086A/652/xHEALTH-CORONAVIRUS_CHINA-GRH4H2V82.1.jpg.pagespeed.ic.pB-ww5Vb45.jpg,O Globo,10/03/2020
Chinesa de 103 anos é a pessoa mais velha a se curar do coronavírus,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/03/11/chinesa-de-103-anos-e-a-pessoa-mais-velha-a-se-curar-do-coronavirus.htm,https://conteudo.imguol.com.br/c/noticias/d0/2020/03/10/coronavirus-pacientes-deixam-hospitais-temporarios-em-wuhan-da-china-1583893670284_v2_450x600.jpg,UOL Saúde,11/03/2020
Pesquisadores brasileiros estão desenvolvendo vacina contra coronavírus,https://www.uol.com.br/vivabem/noticias/redacao/2020/03/15/pesquisadores-brasileiros-estao-desenvolvendo-vacina-contra-coronavirus.htm,https://conteudo.imguol.com.br/c/entretenimento/89/2019/01/14/vacina-1547468972110_v2_450x600.jpg,UOL Viva Bem,15/03/2020
Good news for a nation that loves bickering: coronavirus is the new Brexit,https://www.theguardian.com/commentisfree/2020/mar/16/divisive-brexit-coronavirus,https://i.guim.co.uk/img/media/ab1b583febab2320def6c62a31e726a5976e363a/0_191_4764_2858/master/4764.jpg?width=620&quality=45&auto=format&fit=max&dpr=2&s=d9ef89137abddc12f5e806c15f31076d,The Guardian,16/03/2020
China autoriza teste em humanos de vacina contra o coronavírus,https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/17/china-autoriza-teste-em-humanos-de-vacina-contra-o-coronavirus.ghtml,https://s2.glbimg.com/XuU4NsS-qS14vyf3MQmHty8MDHM=/0x0:1024x682/2000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2020/f/C/nBipiYTnOKAEst3kFJAw/china-coronavirus.jpg,G1,17/03/2020
Cientistas brasileiros podem criar vacina inovadora contra coronavírus,https://noticias.r7.com/saude/cientistas-brasileiros-podem-criar-vacina-inovadora-contra-coronavirus-18032020,https://img.r7.com/images/malaria-19032020201036444?dimensions=460x305,R7,18/03/2020
Pesquisadores descobrem como corpo humano combate o coronavírus,https://exame.abril.com.br/ciencia/pesquisadores-descobrem-como-corpo-humano-combate-o-coronavirus/,"https://abrilexame.files.wordpress.com/2020/03/2020-03-17t181909z_1_lynxmpeg2g23u_rtroptp_4_health-coronavirus-brazil.jpg?quality=70&strip=info&resize=680,453",Exame,18/03/2020
Brasileiros desenvolvem vacina para combater variedade do coronavírus,https://www.folhavitoria.com.br/saude/noticia/03/2020/brasileiros-desenvolvem-vacina-para-combater-variedade-do-coronavirus,https://assets.folhavitoria.com.br/images/08c19100-473e-0138-9e77-0a58a9feac2a--minified.jpg,Folha Vitória,18/03/2020
Confira boas notícias e avanços sobre o coronavírus,https://noticias.r7.com/saude/confira-boas-noticias-e-avancos-sobre-o-coronavirus-18032020,https://img.r7.com/images/coronavirus-china-vacina-17032020182911482?dimensions=660x360,R7,18/03/2020
"Japanese flu drug ‘clearly effective’ in treating coronavirus, says China",https://amp.theguardian.com/world/2020/mar/18/japanese-flu-drug-clearly-effective-in-treating-coronavirus-says-china,https://i.guim.co.uk/img/media/bfd37a2ecbe7b0afc469dd6d09b4c85ccf4e4933/0_0_4539_2723/master/4539.jpg?width=605&quality=45&auto=format&fit=max&dpr=2&s=739bd7c82cbb2e4f21efa42d6c8bfb90,The Guardian,18/03/2020
Coronavírus: 5 estratégias de países que estão conseguindo conter o contágio,https://noticias.uol.com.br/saude/ultimas-noticias/bbc/2020/03/18/coronavirus-5-estrategias-de-paises-que-estao-conseguindo-conter-contagio.htm,https://conteudo.imguol.com.br/c/noticias/f7/2020/03/18/homem-de-mascara-limpa-vidro-1584532842514_v2_900x506.jpg,UOL Saúde,18/03/2020
"Vacina testada nos EUA anima, mas não é certa a imunização",https://www1.folha.uol.com.br/equilibrioesaude/2020/03/vacina-testada-nos-eua-anima-mas-nao-e-certa-a-imunizacao.shtml,https://f.i.uol.com.br/fotografia/2020/03/17/15844658235e71079f72bad_1584465823_3x2_rt.jpg,Folha de São Paulo,18/03/2020
Coronavírus: cientistas descobrem como o corpo combate a covid-19,https://www.uol.com.br/vivabem/noticias/bbc/2020/03/18/coronavirus-cientistas-descobrem-como-corpo-combate-a-covid-19.htm,https://conteudo.imguol.com.br/c/noticias/1a/2020/03/18/pesquisador-segura-tubo-de-ensaio-com-mao-com-luva-verde-1584532175075_v2_900x506.jpg,UOL Viva Bem,18/03/2020
Updated: Trump Says FDA Approved Anti-Malaria Drug Chloroquine To Test As Coronavirus Treatment,https://www.forbes.com/sites/lisettevoytko/2020/03/19/trump-says-fda-approved-anti-malaria-drug-chloroquine-to-test-as-coronavirus-treatment/#2177600b303d,https://specials-images.forbesimg.com/imageserve/01b8cb7db1c94486b84c26f306cd42ab/960x0.jpg,Forbes,19/03/2020
Coronavírus: China e Japão já planejam retorno do futebol após a crise,https://oglobo.globo.com/esportes/coronavirus-china-japao-ja-planejam-retorno-do-futebol-apos-crise-24314384,https://ogimg.infoglobo.com.br/in/24314383-afd-4fb/FT1086A/652/x62739021_This-picture-taken-on-October-20-2016-shows-students-taking-part-in-football-practice-a.jpg.pagespeed.ic.kY-IteuuEH.jpg,O Globo,19/03/2020
"Instituto Federal do Rio produz álcool em gel e espera autorização da Anvisa para distribuição
",https://oglobo.globo.com/sociedade/coronavirus/instituto-federal-do-rio-produz-alcool-em-gel-espera-autorizacao-da-anvisa-para-distribuicao-24313245,https://ogimg.infoglobo.com.br/in/24313317-596-4e4/FT1086A/652/xalcool-em-gel-coronavirus.jpg.pagespeed.ic.gIeSGv-qLW.jpg,O Globo,19/03/2020
"China não registra nenhum novo caso de contágio local; país teve 34 novos casos, todos importados",https://oglobo.globo.com/sociedade/coronavirus-servico/china-nao-registra-nenhum-novo-caso-de-contagio-local-pais-teve-34-novos-casos-todos-importados-24314111,https://ogimg.infoglobo.com.br/in/24314112-202-99a/FT1086A/652/x87078499_This-photo-taken-on-February-18-2020-shows-patients-with-mild-symptoms-of-the-COVID-19-coro.jpg.pagespeed.ic.ts9Vbb17KU.jpg,O Globo,19/03/2020
Supercomputador da IBM identifica substâncias para conter coronavírus,https://exame.abril.com.br/tecnologia/supercomputador-da-ibm-identifica-substancias-para-conter-coronavirus/,"https://abrilexame.files.wordpress.com/2020/03/summit_supercomputer.jpg?quality=70&strip=info&resize=680,453",Exame,19/03/2020
Hidroxicloroquina: EUA testam remédio para malária no tratamento do coronavírus,https://www.cnnbrasil.com.br/saude/2020/03/19/cloroquina-eua-vao-testar-remedio-para-malaria-no-tratamento-do-coronavirus,https://mediastorage.cnnbrasil.com.br/IMAGES/00/00/00/1462_45D5C46896748E58.jpg,CNN Brasil,19/03/2020
Conheça quais são os países que estão conseguindo frear o coronavírus,https://oglobo.globo.com/sociedade/conheca-quais-sao-os-paises-que-estao-conseguindo-frear-coronavirus-24316932,https://ogimg.infoglobo.com.br/in/24317020-693-90d/FT1086A/652/xcoronavirus.jpg.pagespeed.ic.vmceaScK6M.jpg,O Globo,20/03/2020
"Vacinas, remédios e controle do coronavírus",https://valorinveste.globo.com/mercados/internacional-e-commodities/noticia/2020/03/20/vacinas-remedios-e-controle-as-luzes-no-fim-do-tunel-do-coronavirus.ghtml,https://s2.glbimg.com/_VvUtMmgwmdICxQhgtOpKPNwvkY=/436x227:1873x1174/3200x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_f035dd6fd91c438fa04ab718d608bbaa/internal_photos/bs/2020/V/O/qZeroCRdmj06txRZGhVQ/gettyimages-1200769096.jpg,Valor Investe,20/03/2020
Estudo descarta hipótese de que novo coronavírus tenha sido criado em laboratório,https://oglobo.globo.com/sociedade/coronavirus-servico/estudo-descarta-hipotese-de-que-novo-coronavirus-tenha-sido-criado-em-laboratorio-24317110,https://ogimg.infoglobo.com.br/in/24317105-1db-2b6/FT1086A/652/x49565158953_6fb79f1c01_c.jpg.pagespeed.ic.RqQmqeSt6e.jpg,O Globo,20/03/2020
China volta a anunciar que não registrou novas infecções do coronavírus,https://exame.abril.com.br/mundo/china-volta-a-anunciar-que-nao-registrou-novas-infeccoes-do-coronavirus/,"https://abrilexame.files.wordpress.com/2020/03/xangai.jpeg?quality=70&strip=info&resize=680,453",Exame,20/03/2020
"Após coronavírius, China começa a planejar reabertura de seus cinemas",https://entretenimento.r7.com/cinema-e-series/apos-coronavirius-china-comeca-a-planejar-reabertura-de-seus-cinemas-20032020,https://img.r7.com/images/sonic-17022020074026681?dimensions=460x305&&amp;resize=460x305&amp;crop=946x627+263+0&amp;resize=460x305&amp;crop=946x627+263+0,R7,20/03/2020
Cientistas russos trabalham em criação de vacina contra o coronavírus,https://noticias.uol.com.br/internacional/ultimas-noticias/2020/03/20/cientistas-russos-trabalham-em-criacao-de-vacina-contra-o-coronavirus.htm,https://conteudo.imguol.com.br/c/entretenimento/e1/2020/03/20/tubo-de-ensaio-coronavirus-1584718259091_v2_900x506.jpg,UOL Notícias,20/03/2020
Brasileira cria rede para imprimir em 3D equipamentos de UTI usados no tratamento contra o coronavírus,https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/20/brasileira-cria-rede-para-imprimir-em-3d-equipamentos-de-uti-usados-no-tratamento-contra-o-coronavirus.ghtml,https://s2.glbimg.com/9_QQORN-PsYaykLo18TSCYmissI=/0x0:720x960/2000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2020/C/t/8SFlnQSBquhmcCPy1pDw/thabata.jpg,G1,20/03/2020
OMS diz que exemplo de Wuhan é 'esperança' diante de pandemia ,https://noticias.uol.com.br/saude/ultimas-noticias/afp/2020/03/20/oms-diz-que-exemplo-de-wuahn-e-esperanca-diante-de-pandemia.htm,https://conteudo.imguol.com.br/c/entretenimento/b2/2020/03/16/equipe-de-hospital-em-wuhan-na-china-se-despede-de-paciente-curado-da-covid-19-1584394779244_v2_900x506.jpg,UOL Saúde,20/03/2020
"Primeira paciente pernambucana com confirmação do coronavírus está curada, diz SES-PE",https://www.diariodepernambuco.com.br/noticia/vidaurbana/2020/03/primeira-paciente-pernambucana-com-confirmacao-do-coronavirus-esta-cur.html,https://www.diariodepernambuco.com.br/static/app/noticia_127983242361/2020/03/20/822286/20200320155828998127u.jpg,Diário de Pernambuco,20/03/2020
Coronavírus: Italiana de 95 anos é curada da Covid-19,https://revistaquem.globo.com/QUEM-News/noticia/2020/03/coronavirus-italiana-de-95-anos-e-curada-da-covid-19.html,http://s2.glbimg.com/_X2HxmuNTediT_6Q9jbVeoqMREQ=/e.glbimg.com/og/ed/f/original/2020/03/20/vfdvfd_Jv8UlXH.jpg,Revista Quem,20/03/2020
Modelo de conteção de coronavírus da chinesa Geely é exemplo para o mundo,https://jornaldocarro.estadao.com.br/carros/contecao-de-coronavirus-da-chinesa-geely/,https://fotos.jornaldocarro.estadao.com.br/wp-content/uploads/2020/03/19193434/geely-keeping-employees-safe-china-2.jpg,Estadão,20/03/2020
Remédios em teste vão além da hidroxicloroquina. Veja quais,https://exame.abril.com.br/ciencia/alem-da-hidroxicloroquina-outros-remedios-para-combater-o-coronavirus/,"https://abrilexame.files.wordpress.com/2020/03/gettyimages-1091205552.jpg?quality=70&strip=info&resize=680,453",Exame,20/03/2020
SP anuncia cura de paciente internado por coronavírus,https://veja.abril.com.br/saude/sp-anuncia-cura-de-paciente-internado-por-coronavirus/,"https://abrilveja.files.wordpress.com/2020/03/gettyimages-1204516945.jpg?quality=70&strip=info&resize=680,453",Veja,21/03/2020
EUA pede velocidade de aprovação para remédio potencial contra coronavírus,https://exame.abril.com.br/ciencia/eua-pede-velocidade-de-aprovacao-para-remedio-potencial-contra-coronavirus/,"https://abrilexame.files.wordpress.com/2020/03/2020-03-16t193303z_1976059317_rc27lf988awi_rtrmadp_3_health-coronavirus-usa.jpg?quality=70&strip=info&resize=680,453",Exame,21/03/2020
"Coronavírus: com o distanciamento social, o Brasil começa a reagir",https://veja.abril.com.br/saude/coronavirus-com-o-distanciamento-social-o-brasil-comeca-a-reagir/,https://abrilveja.files.wordpress.com/2020/03/shopping-parque-da-cidade-2019-1.jpg.jpg?quality=70&strip=info&w=636&h=424&zoom=2,Veja,21/03/2020
"China não registra transmissão local de coronavírus pelo 3º dia, mas casos importados aumentam",https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/21/china-nao-registra-transmissao-local-de-coronavirus-pelo-3o-dia-mas-casos-importados-aumentam.ghtml,https://s2.glbimg.com/1C8GigcIMcUpV4NHirlqGqYzfkU=/0x0:5000x3074/2000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2020/S/V/xnBTFwSkC8cmdkG3ebaQ/ap20081055272484-1-.jpg,G1,21/03/2020
Paciente número um da Itália se recupera e deve ter alta nesta semana,https://exame.abril.com.br/mundo/paciente-numero-um-da-italia-se-recupera-e-deve-ter-alta-nesta-semana/,"https://abrilexame.files.wordpress.com/2020/03/mascara.jpg?quality=70&strip=info&resize=680,453",Exame,21/03/2020
Pesquisador de Pernambuco desenvolve plataforma que pode ajudar no controle da disseminação do coronavírus,"https://www.correiobraziliense.com.br/app/noticia/ciencia-e-saude/2020/03/20/interna_ciencia_saude,835616/coronavirus-plataforma-pode-ajudar-a-minimizar-o-contagio.shtml",https://i.correiobraziliense.com.br/6RN7T1_gRDhCKmYTAG2dbhnGGQQ=/820x0/smart/imgsapp2.correiobraziliense.com.br/app/noticia_127983242361/2020/03/20/835616/20200320161105514394o.jpg,Correio Braziliense,21/03/2020
Coronavírus: Brasil pode começar testes para medicamento em 30 dias,https://catracalivre.com.br/saude-bem-estar/coronavirus-brasil-pode-comecar-testes-para-medicamento-em-30-dias/,https://catracalivre.com.br/wp-content/thumbnails/-mA1n5Zb69ypm-BvRLdb079kWgE=/wp-content/uploads/2020/03/coronavirus-teste-1-910x607.jpg,Catraca Livre,21/03/2020
Cura de coronavírus é como a de uma gripe em casos simples,https://www.diariodepernambuco.com.br/noticia/mundo/2020/03/cura-de-coronavirus-e-como-a-de-uma-gripe-em-casos-simples.html,https://www.diariodepernambuco.com.br/static/app/noticia_127983242361/2020/03/21/822385/20200321123939833462i.jpg,Diário de Pernambuco,21/03/2020
A estratégia de sucesso da Coreia do Sul contra a Covid-19: testes em massa,https://www.msn.com/pt-br/noticias/brasil/a-estrat%c3%a9gia-de-sucesso-da-coreia-do-sul-contra-a-covid-19-testes-em-massa/ar-BB11v5KK,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BB11vdd3.img?h=360&w=540&m=6&q=60&o=f&l=f,Super Interessante,21/03/2020
Pernambuco tem mais dois casos de cura clínica do coronavírus,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2020/03/pernambuco-tem-mais-dois-casos-de-cura-clinica-do-coronavirus.html,https://www.diariodepernambuco.com.br/static/app/noticia_127983242361/2020/03/21/822418/20200321180131383785u.jpeg,Diário de Pernambuco,21/03/2020
Pesquisa de vacina contra coronavírus se torna uma competição global,"https://www.terra.com.br/vida-e-estilo/saude/pesquisa-de-vacina-contra-coronavirus-se-torna-uma-competicao-global,95e52c73d7f30bf1145e753d7ff3e7e1gzutuniz.html",https://p2.trrsf.com/image/fget/cf/940/0/images.terra.com/2020/03/20/111366217hi060124419.jpg,Terra,21/03/2020
Alemanha tem poucas mortes por coronavírus graças a exames precoces,https://exame.abril.com.br/mundo/alemanha-tem-poucas-mortes-por-coronavirus-gracas-a-exames-precoces/,"https://abrilexame.files.wordpress.com/2020/03/gettyimages-1213666565.jpg?quality=70&strip=info&resize=680,453",Exame,22/03/2020
Brasileiro na China conta como país superou o vírus e o medo,"https://www.acidadeon.com/saocarlos/cotidiano/coronavirus/NOT,0,0,1493686,brasileiro+na+china+conta+como+pais+superou+o+virus+e+o+medo.aspx",https://emc-src.eptv.com.br/dbimagens/luis_enrique_790x444_22032020110351.jpg,A Cidade On,22/03/2020
China começa a viver fase pós-pandemia,"https://internacional.estadao.com.br/noticias/geral,china-comeca-a-viver-fase-pos-pandemia,70003242922",https://img.estadao.com.br/resources/jpg/8/0/1584826186208.jpg,Estadão,22/03/2020
Amigos montaram calculadora pra sequência rápida de intubação no COVID-19,https://emergenciarules.com/wp-content/uploads/2020/03/covid.html,https://spdrf-13d1.kxcdn.com/993489d8/cb_515/https%3A%2F%2Fmathema.com.br%2Fwp-content%2Fuploads%2F2019%2F05%2Fdosagem-medicamentos-760x450.png,Emergência Rules,22/03/2020
Site Razões para Acreditar mapeia serviços gratuitos para pessoas de quarentena,https://razoesparaacreditar.com/servicos-gratuitos-coronavirus/,https://pbs.twimg.com/profile_images/1204124045941334016/rGiR2gb5_400x400.jpg,Razões para Acreditar,22/03/2020
Empresas de confecção do Ceará querem fornecer gratuitamente roupas hospitalares e máscaras,https://www.opovo.com.br/coronavirus/2020/03/22/empresas-de-confeccao-do-ceara-querem-fornecer-gratuitamente-roupas-hospitalares-e-mascaras.html,https://www.opovo.com.br/_midias/jpg/2020/03/16/750x499/1_thais_mesquita__6_-12189778.jpg,O Povo,22/03/2020
Aplicativo goiano ajuda contra a pandemia de coronavírus ,https://www.opopular.com.br/noticias/economia/aplicativo-goiano-ajuda-contra-a-pandemia-de-coronav%C3%ADrus-1.2020265,https://www.bing.com/th?id=ON.80EC5722EE6531D36AC3429E6E9271A7&pid=News&w=234&h=132&c=14&rs=2&qlt=90,Jornal O Popular,22/03/2020
"Wuhan, berço do coronavírus, retoma progressivamente sua atividade",https://www.otempo.com.br/mundo/wuhan-berco-do-coronavirus-retoma-progressivamente-sua-atividade-1.2314902,https://www.otempo.com.br/image/contentid/policy:1.2295922:1581311256/000_1OV2M0.jpg?f=3x2&w=930&$p$f$w=412a09d,O Tempo,23/03/2020
Coreia do Sul registra menor número de casos novos de coronavírus,"https://www.rondoniadinamica.com/noticias/2020/03/coreia-do-sul-registra-menor-numero-de-casos-novos-de-coronavirus,70276.shtml",https://www.rondoniadinamica.com/uploads/vxobfl7h1han4e3.jpg,Rondonia Dinamica,23/03/2020
Coronavírus: por que a Alemanha tem uma taxa de mortalidade tão baixa,https://www1.folha.uol.com.br/equilibrioesaude/2020/03/coronavirus-por-que-a-alemanha-tem-uma-taxa-de-mortalidade-tao-baixa.shtml,https://f.i.uol.com.br/fotografia/2020/03/23/15849758135e78cfc52c1d8_1584975813_3x2_md.jpg,Folha de São Paulo,23/03/2020
China testa vacina contra o novo coronavírus com 108 voluntários,"https://www.folhape.com.br/noticias/noticias/coronavirus/2020/03/23/NWS,134429,70,1668,NOTICIAS,2190-CHINA-TESTA-VACINA-CONTRA-NOVO-CORONAVIRUS-COM-108-VOLUNTARIOS.aspx","https://www.folhape.com.br/obj/7/370141,475,80,0,0,475,365,0,0,0,0.jpg",Folha PE,23/03/2020
Supercomputador identifica 77 moléculas com potencial para tratar Covid-19,https://revistagalileu.globo.com/Tecnologia/noticia/2020/03/supercomputador-identifica-77-moleculas-com-potencial-para-tratar-covid-19.html,https://s2.glbimg.com/MOAv5qse0c2hyPtJyid8vTELoE8=/e.glbimg.com/og/ed/f/original/2020/03/23/captura_de_tela_2020-03-23_as_13.22.33.png,Revista Galileu,23/03/2020
OMS lança estudo global para testar 4 medicamentos contra Covid-19,https://revistagalileu.globo.com/Ciencia/Saude/noticia/2020/03/oms-lanca-estudo-global-para-testar-4-medicamentos-contra-covid-19.html,https://s2.glbimg.com/xVaJ_KLHQhQ2RTnryT85UpW77Ik=/e.glbimg.com/og/ed/f/original/2020/02/14/novel-coronavirus-sars-cov-2_49530315718_o_custom-5ffcb61ae98df99b4444a71792e96da7ffbf77ff-s800-c85.jpg,Revista Galileu,23/03/2020
"Coppe e UFRJ desenvolvem novo teste para detecção do coronavírus: Procedimento é mais simples e tem custo quatro vezes mais baixo
",https://epocanegocios.globo.com/Brasil/noticia/2020/03/coppe-e-ufrj-desenvolvem-novo-teste-para-deteccao-do-coronavirus.html,http://s2.glbimg.com/j8ledDXq940k0TkfZh5IfMYgTgg=/620x350/e.glbimg.com/og/ed/f/original/2020/03/23/covid.jpg,Epoca Negocios,23/03/2020
PROVÍNCIA CHINESA ONDE SURGIU CORONAVÍRUS ANUNCIA FIM DO CONFINAMENTO PARA MORADORES,https://epoca.globo.com/mundo/provincia-chinesa-onde-surgiu-coronavirus-anuncia-fim-do-confinamento-para-moradores-24324746,https://ogimg.infoglobo.com.br/in/24324730-b9d-50f/FT1086A/652/xwuhan.jpg.pagespeed.ic.goi_YazV3h.jpg,Epoca,24/03/2020
Há esperança! Está curado um dos primeiros casos graves de coronavírus no Brasil,https://www.tupi.fm/coronavirus/ha-esperanca-esta-curado-um-dos-primeiros-casos-graves-de-coronavirus-no-brasil/,https://www.tupi.fm/wp-content/uploads/a-bancaria-alagoana-ana-patricia-bezerra-moura-43-durante-as-ferias-na-italia-1584744633779_v2_450x600.jpg,TUPI FM,24/03/2020
Projeto Psicologia Solidária atende voluntariamente profissionais de saúde,https://www.redebrasilatual.com.br/saude-e-ciencia/2020/03/psicologia-solidaria-atende-profissionais-saude/,https://www.redebrasilatual.com.br/wp-content/uploads/2020/03/projeto-psicologia.jpg,Rede Brasil Atual,24/03/2020
"Pandemia de coronavírus gera corrida global por vacinas, medicamentos e diagnósticos",https://www1.folha.uol.com.br/equilibrioesaude/2020/03/pandemia-de-coronavirus-gera-corrida-global-por-vacinas-medicamentos-e-diagnosticos.shtml,https://arte.folha.uol.com.br/ciencia/2020/03/24/as-armas-testadas-contra-o-coronavirus/as-armas-testadas-contra-o-coronavirus-1-desktop.png,Folha de São Paulo,24/03/2020
Número de pessoas curadas do coronavírus já passa de 100 mil,https://exame.abril.com.br/mundo/numero-de-pessoas-curadas-do-coronavirus-ja-passa-de-100-mil/,"https://abrilexame.files.wordpress.com/2020/03/gettyimages-1206419803.jpg?quality=70&strip=info&resize=680,453",Exame,24/03/2020
Como a Coreia do Sul está controlando o coronavírus,"https://internacional.estadao.com.br/noticias/geral,como-a-coreia-do-sul-esta-controlando-o-coronavirus,70003245814",https://img.estadao.com.br/resources/jpg/9/1/1585061117819.jpg,Estadão,24/03/2020
EDITORES INTERNACIONAIS LIBERAM CONTEÚDOS GRATUITOS PARA COMBATE AO COVID-19,https://diariodocomercio.com.br/zcoronavirus/editores-internacionais-liberam-conteudos-gratuitos-para-combate-ao-covid-19/,https://diariodocomercio.com.br/wp-content/uploads/2020/03/coronavirus-teste-startup-2103.jpg,Diário do Comercio,24/03/2020
Pernambuco tem cinco pessoas curadas do novo coronavírus,https://www.diariodepernambuco.com.br/noticia/vidaurbana/2020/03/pernambuco-tem-cinco-pessoas-curadas-do-novo-coronavirus.html,https://www.diariodepernambuco.com.br/static/app/noticia_127983242361/2020/03/24/822815/20200324182228966529e.jpg,Diário de Pernambuco,24/03/2020